mean_aoi,lifetime,tx_rate,case,seed
8.07712230730584,34.85,0.08049647257862215,full_model,0
8.867752487365086,42.2,0.07329570319142978,full_model,1
13.518125015561669,54.9,0.05131635082844756,full_model,2
8.07712230730584,34.85,0.08049647257862215,no_sensor_change,0
8.867752487365086,42.2,0.07329570319142978,no_sensor_change,1
13.518125015561669,54.9,0.05131635082844756,no_sensor_change,2
8.11374551971326,28.15,0.12677547363031233,no_channel,0
8.483583743842363,26.15,0.12935960591133006,no_channel,1
13.3721875,45.8,0.05426470588235295,no_channel,2
8.11374551971326,28.15,0.12677547363031233,no_dv_no_channel,0
8.483583743842363,26.15,0.12935960591133006,no_dv_no_channel,1
13.3721875,45.8,0.05426470588235295,no_dv_no_channel,2
