node_id,step,time_s,temperature,luminosity,pressure,delta_v,mean_pwr_mw,action,action_label,aoi,energy_mj
m3-10,74,370.04,30.3917,0.4883,998.4155,0,117.44,1,wait,20,0.588
m3-10,75,375.04,30.3979,0.2441,998.3418,0,115.94,1,wait,20,0.58
m3-10,76,380.04,30.4125,0.4883,998.5518,0,117.33,1,wait,20,0.587
m3-10,77,385.04,30.4021,0.2441,998.5894,0,116.14,1,wait,20,0.581
m3-10,78,390.05,30.4396,0.4883,998.3787,0,117.38,1,wait,20,0.588
m3-10,79,395.06,30.4146,0.2441,998.4944,0,115.96,1,wait,20,0.581
m3-10,80,400.05,30.4083,0.4883,998.4827,0,117.38,1,wait,20,0.586
m3-10,81,405.06,30.4312,0.2441,998.4817,0,115.94,1,wait,20,0.581
m3-10,82,410.06,30.4167,0.4883,998.2461,0,117.49,1,wait,20,0.587
m3-10,83,415.07,30.3646,0.2441,998.344,0,115.91,1,wait,20,0.581
m3-10,84,420.06,30.4396,0.4883,998.4751,0,117.54,1,wait,20,0.587
m3-10,85,425.07,30.4292,0.2441,998.3914,0,115.79,1,wait,20,0.58
m3-10,86,430.08,30.4083,0.4883,998.5244,0,117.63,1,wait,20,0.589
m3-10,87,435.09,30.4438,0.2441,998.3723,0,115.75,1,wait,20,0.58
m3-10,88,440.08,30.4104,0.4883,998.5288,0,117.65,1,wait,20,0.587
m3-10,89,445.09,30.4688,0.2441,998.5425,0,115.71,1,wait,20,0.58
m3-10,90,450.09,30.4229,0.4883,998.4519,0,117.72,1,wait,20,0.589
m3-10,91,455.1,30.4417,0.2441,998.5688,0,115.65,1,wait,20,0.579
m3-10,92,460.09,30.4812,0.4883,998.3569,0,117.75,1,wait,20,0.588
m3-10,93,465.1,30.4312,0.2441,998.4507,0,115.59,1,wait,20,0.579
m3-10,94,470.11,30.4396,0.4883,998.3569,0,117.79,1,wait,20,0.59
m3-10,95,475.12,30.4271,0.2441,998.3682,0,115.5,1,wait,20,0.579
m3-10,96,480.11,30.4083,0.4883,998.5664,0,117.89,1,wait,20,0.588
m3-10,97,485.12,30.4354,0.2441,998.4424,0,115.49,1,wait,20,0.579
m3-10,98,490.12,30.4562,0.4883,998.5915,0,117.88,1,wait,20,0.589
m3-10,99,495.13,30.4417,0.2441,998.4622,0,115.35,1,wait,20,0.578
m3-10,100,500.12,30.4542,0.4883,998.5601,0,117.96,1,wait,20,0.589
m3-10,101,505.13,30.475,0.2441,998.3154,0,115.25,1,wait,20,0.577
m3-10,102,510.14,30.4229,0.4883,998.5107,0,118.03,1,wait,20,0.591
m3-10,103,515.14,30.4167,0.2441,998.3323,0,115.33,1,wait,20,0.577
m3-10,104,520.14,30.4312,0.4883,998.4788,0,118.1,1,wait,20,0.591
m3-10,105,525.14,30.4479,0.2441,998.4202,0,115.25,1,wait,20,0.576
m3-10,106,530.15,30.4667,0.4883,998.594,0,118.18,1,wait,20,0.592
m3-10,107,535.16,30.5,0.2441,998.6079,0,115.18,1,wait,20,0.577
m3-10,108,540.15,30.4812,0.4883,998.5632,0,118.09,1,wait,20,0.589
m3-10,109,545.16,30.4812,0.2441,998.3728,0,115.34,1,wait,20,0.578
m3-10,110,550.17,30.4688,0.4883,998.4736,0,118.31,1,wait,20,0.593
m3-10,111,555.17,30.4771,0.2441,998.3589,0,115.01,1,wait,20,0.575
m3-10,112,560.17,30.4646,0.4883,998.3564,0,118.19,1,wait,20,0.591
m3-10,113,565.17,30.4688,0.2441,998.374,0,115.3,1,wait,20,0.576
m3-10,114,570.18,30.4688,0.4883,998.6003,0,118.06,1,wait,20,0.591
m3-10,115,575.19,30.5146,0.2441,998.3867,0,115.25,1,wait,20,0.577
m3-10,116,580.2,30.475,0.4883,998.5217,0,118.41,1,wait,20,0.593
m3-10,117,585.19,30.4979,0.2441,998.4292,0,115.03,1,wait,20,0.574
m3-10,118,590.2,30.5125,0.4883,998.5203,0,118.15,1,wait,20,0.592
m3-10,119,595.2,30.5167,0.2441,998.5725,0,115.23,1,wait,20,0.576
m3-10,120,600.19,30.4417,0.4883,998.4856,0,118.13,1,wait,20,0.589
m3-10,121,605.2,30.4792,0.2441,998.5327,0,115.03,1,wait,20,0.576
m3-10,122,610.21,30.5125,0.4883,998.4219,0,118.33,1,wait,20,0.593
m3-10,123,615.22,30.4688,0.2441,998.4229,0,115.08,1,wait,20,0.577
m3-10,124,620.21,30.4812,0.4883,998.6082,0,118.44,1,wait,20,0.591
m3-10,125,625.22,30.5333,0.2441,998.4844,0,115.1,1,wait,20,0.577
m3-10,126,630.22,30.5188,0.4883,998.5156,0,118.46,1,wait,20,0.592
m3-10,127,635.23,30.5146,0.2441,998.5696,0,114.83,1,wait,20,0.575
m3-10,128,640.24,30.5083,0.4883,998.4895,0,118.44,1,wait,20,0.593
m3-10,129,645.23,30.5104,0.2441,998.415,0,114.85,1,wait,20,0.573
m3-10,130,650.24,30.5,0.4883,998.4858,0,118.59,1,wait,20,0.594
m3-10,131,655.25,30.4917,0.2441,998.637,0,114.87,1,wait,20,0.576
m3-10,132,660.25,30.5479,0.4883,998.5027,0,118.61,1,wait,20,0.593
m3-10,133,665.25,30.5417,0.2441,998.4968,0,114.8,1,wait,20,0.574
m3-10,134,670.25,30.5021,0.4883,998.573,0,118.58,1,wait,20,0.593
m3-10,135,675.26,30.5188,0.2441,998.6091,0,114.72,1,wait,20,0.575
m3-10,136,680.27,30.5438,0.4883,998.5244,0,118.66,1,wait,20,0.594
m3-10,137,685.26,30.5438,0.2441,998.6167,0,114.63,1,wait,20,0.572
m3-10,138,690.27,30.55,0.4883,998.5088,0,118.73,1,wait,20,0.595
m3-10,139,695.28,30.5292,0.2441,998.5193,0,114.62,1,wait,20,0.574
m3-10,140,700.28,30.5208,0.4883,998.7131,0,118.74,1,wait,20,0.594
m3-10,141,705.27,30.5646,0.2441,998.4968,0,114.45,1,wait,20,0.571
m3-10,142,710.28,30.5083,0.4883,998.678,0,118.82,1,wait,20,0.595
m3-10,143,715.29,30.5375,0.2441,998.5366,0,114.53,1,wait,20,0.574
m3-10,144,720.28,30.5083,0.4883,998.3835,0,118.97,1,wait,20,0.594
m3-10,145,725.29,30.5125,0.2441,998.322,0,114.41,1,wait,20,0.573
m3-10,146,730.3,30.5083,0.4883,998.5679,0,119.04,1,wait,20,0.596
m3-10,147,735.3,30.5542,0.2441,998.4194,0,114.33,1,wait,20,0.572
m3-10,148,740.3,30.5188,0.4883,998.5266,0,118.83,1,wait,20,0.594
m3-10,149,745.3,30.5438,0.2441,998.4595,0,114.65,1,wait,20,0.573
m3-10,150,750.31,30.5083,0.4883,998.5054,0,118.71,1,wait,20,0.595
m3-10,151,755.32,30.5208,0.2441,998.501,0,114.46,1,wait,20,0.573
m3-10,152,760.31,30.5083,0.4883,998.4565,0,119.03,1,wait,20,0.594
m3-10,153,765.32,30.5229,0.2441,998.5161,0,114.63,1,wait,20,0.574
m3-10,154,770.33,30.5125,0.4883,998.6448,0,118.84,1,wait,20,0.595
m3-10,155,775.33,30.575,0.2441,998.5364,0,114.37,1,wait,20,0.572
m3-10,156,780.32,30.6146,0.4883,998.5762,0,118.91,1,wait,20,0.593
m3-10,157,785.33,30.5417,0.2441,998.4692,0,114.39,1,wait,20,0.573
m3-10,158,790.34,30.5146,0.4883,998.4412,0,119.02,1,wait,20,0.596
m3-10,159,795.33,30.5417,0.2441,998.5427,0,114.37,1,wait,20,0.571
m3-10,160,800.34,30.5229,0.2441,998.5967,0,119.03,1,wait,20,0.596
m3-10,161,805.35,30.5625,0.2441,998.4863,0,114.23,1,wait,20,0.572
m3-10,162,810.35,30.5312,0.4883,998.595,0,119.07,1,wait,20,0.595
m3-10,163,815.35,30.5625,0.2441,998.5554,0,114.2,1,wait,20,0.571
m3-10,164,820.35,30.5562,0.4883,998.5476,0,119.1,1,wait,20,0.596
m3-10,165,825.36,30.5979,0.2441,998.7253,0,114.37,1,wait,20,0.573
m3-10,166,830.35,30.5833,0.4883,998.459,0,119.12,1,wait,20,0.594
m3-11,1,4.8,29.9438,0.4883,999.1604,0,115.85,1,wait,2,0.556
m3-11,2,9.79,29.9604,0.7324,998.9651,0,115.22,1,wait,3,0.575
m3-11,3,14.8,29.9375,0.4883,999.0078,0,116.4,1,wait,4,0.583
m3-11,4,19.81,29.9458,0.7324,999.032,0,115.41,1,wait,5,0.578
m3-11,5,24.8,29.9667,0.4883,999.0798,0,116.35,1,wait,6,0.581
m3-11,6,29.81,29.9833,0.7324,999.0979,0,115.22,1,wait,7,0.577
m3-11,7,34.82,29.9979,0.4883,999.0566,0,116.42,1,wait,8,0.583
m3-11,8,39.82,29.9854,0.7324,999.0603,0,115.29,1,wait,9,0.576
m3-11,9,44.82,30.0104,0.4883,999.1272,0,116.38,1,wait,10,0.582
m3-11,10,49.82,30.0167,0.7324,999.1502,0,115.36,1,wait,11,0.577
m3-11,11,54.83,30.0438,0.4883,998.9297,0,116.25,1,wait,12,0.582
m3-11,12,59.82,29.9917,0.7324,999.0652,0,115.5,1,wait,13,0.576
m3-11,13,64.83,30.0312,0.4883,998.9756,0,116.21,1,wait,14,0.582
m3-11,14,69.84,30.0062,0.7324,998.9995,0,115.55,1,wait,15,0.579
m3-11,15,74.83,30.0354,0.4883,998.9766,0,116.13,1,wait,16,0.579
m3-11,16,79.84,30.0104,0.7324,999.1196,0,115.67,1,wait,17,0.579
m3-11,17,84.84,30.0646,0.4883,998.9746,0,116.18,1,wait,18,0.581
m3-11,18,89.85,30.0312,0.7324,999.0454,0,115.38,1,wait,19,0.578
m3-11,19,94.84,30.0396,0.4883,998.9878,0,116.3,1,wait,20,0.58
m3-11,20,99.85,30.0458,0.7324,999.2441,0,115.51,1,wait,20,0.579
m3-11,21,104.86,30.1,0.4883,998.9695,0,116.19,1,wait,20,0.582
m3-11,22,109.85,30.0562,0.7324,999.1262,0,115.59,1,wait,20,0.577
m3-11,23,114.86,30.1042,0.4883,999.1345,0,116.13,1,wait,20,0.582
m3-11,24,119.87,30.075,0.7324,999.188,0,115.65,1,wait,20,0.579
m3-11,25,124.86,30.1271,0.4883,999.134,0,116.02,1,wait,20,0.579
m3-11,26,129.87,30.1188,0.7324,999.0586,0,115.75,1,wait,20,0.58
m3-11,27,134.87,30.1271,0.4883,999.0938,0,115.94,1,wait,20,0.58
m3-11,28,139.88,30.1208,0.7324,999.1396,0,115.81,1,wait,20,0.58
m3-11,29,144.87,30.1271,0.4883,999.0454,0,116.05,1,wait,20,0.579
m3-11,30,149.88,30.1125,0.7324,999.1553,0,115.75,1,wait,20,0.58
m3-11,31,154.89,30.1354,0.4883,998.9453,0,115.77,1,wait,20,0.58
m3-11,32,159.9,30.0896,0.7324,999.1116,0,115.99,1,wait,20,0.581
m3-11,33,164.89,30.15,0.4883,999.1038,0,115.85,1,wait,20,0.578
m3-11,34,169.9,30.1354,0.7324,999.0442,0,115.77,1,wait,20,0.58
m3-11,35,174.9,30.1292,0.4883,999.0535,0,115.93,1,wait,20,0.58
m3-11,36,179.91,30.1458,0.7324,999.084,0,115.8,1,wait,20,0.58
m3-11,37,184.9,30.15,0.4883,999.0532,0,115.88,1,wait,20,0.578
m3-11,38,189.91,30.1458,0.7324,999.0562,0,115.92,1,wait,20,0.581
m3-11,39,194.92,30.1292,0.4883,998.9915,0,115.78,1,wait,20,0.58
m3-11,40,199.93,30.1333,0.7324,999.1013,0,115.98,1,wait,20,0.581
m3-11,41,204.92,30.1667,0.4883,999.0288,0,115.72,1,wait,20,0.577
m3-11,42,209.93,30.1583,0.7324,999.2229,0,116.1,1,wait,20,0.582
m3-11,43,214.93,30.2083,0.4883,999.0293,0,115.61,1,wait,20,0.578
m3-11,44,219.94,30.1729,0.7324,999.0691,0,116.15,1,wait,20,0.582
m3-11,45,224.93,30.1833,0.4883,999.0623,0,115.72,1,wait,20,0.577
m3-11,46,229.94,30.1833,0.7324,999.0342,0,116.1,1,wait,20,0.582
m3-11,47,234.95,30.1646,0.4883,998.9988,0,115.43,1,wait,20,0.578
m3-11,48,239.96,30.1771,0.7324,998.9636,0,116.35,1,wait,20,0.583
m3-11,49,244.95,30.1833,0.4883,998.9636,0,115.53,1,wait,20,0.577
m3-11,50,249.95,30.1875,0.7324,999.0833,0,116.08,1,wait,20,0.58
m3-11,51,254.96,30.2146,0.4883,999.019,0,115.62,1,wait,20,0.579
m3-11,52,259.95,30.1792,0.7324,999.1694,0,116.18,1,wait,20,0.58
m3-11,53,264.96,30.2188,0.4883,999.0342,0,115.58,1,wait,20,0.579
m3-11,54,269.97,30.2021,0.7324,999.0405,0,116.24,1,wait,20,0.582
m3-11,55,274.98,30.1854,0.4883,999.072,0,115.45,1,wait,20,0.578
m3-11,56,279.97,30.2188,0.7324,999.0877,0,116.36,1,wait,20,0.581
m3-11,57,284.98,30.2354,0.4883,999.2073,0,115.36,1,wait,20,0.578
m3-11,58,289.98,30.2667,0.7324,999.1309,0,116.39,1,wait,20,0.582
m3-11,59,294.98,30.2521,0.4883,998.9937,0,115.28,1,wait,20,0.576
m3-11,60,299.98,30.2062,0.7324,999.2283,0,116.37,1,wait,20,0.582
m3-11,61,304.99,30.2688,0.4883,999.1331,0,115.52,1,wait,20,0.579
m3-11,62,310.0,30.2354,0.7324,999.0366,0,116.5,1,wait,20,0.584
m3-11,63,314.99,30.2292,0.4883,999.0437,0,115.19,1,wait,20,0.575
m3-11,64,320.0,30.2479,0.7324,999.1436,0,116.33,1,wait,20,0.583
m3-11,65,325.01,30.2542,0.4883,999.0093,0,115.35,1,wait,20,0.578
m3-11,66,330.0,30.2167,0.7324,999.031,0,116.44,1,wait,20,0.581
m3-11,67,335.01,30.2646,0.4883,999.1252,0,115.31,1,wait,20,0.578
m3-11,68,340.01,30.2521,0.7324,999.1682,0,116.51,1,wait,20,0.583
m3-11,69,345.02,30.2646,0.4883,999.1892,0,115.18,1,wait,20,0.577
m3-11,70,350.01,30.3,0.7324,999.0955,0,116.61,1,wait,20,0.582
m3-11,71,355.02,30.275,0.4883,999.1558,0,115.13,1,wait,20,0.577
m3-11,72,360.03,30.2979,0.7324,999.1677,0,116.67,1,wait,20,0.585
m3-11,73,365.03,30.3062,0.4883,998.9922,0,115.0,1,wait,20,0.575
m3-11,74,370.03,30.2479,0.7324,999.0632,0,116.78,1,wait,20,0.584
m3-11,75,375.03,30.2646,0.4883,999.0803,0,115.12,1,wait,20,0.576
m3-11,76,380.04,30.2792,0.7324,999.1907,0,116.51,1,wait,20,0.584
m3-11,77,385.05,30.2979,0.4883,999.001,0,115.17,1,wait,20,0.577
m3-11,78,390.04,30.2896,0.7324,999.1724,0,116.62,1,wait,20,0.582
m3-11,79,395.05,30.3312,0.4883,999.0586,0,115.14,1,wait,20,0.577
m3-11,80,400.06,30.3167,0.7324,999.0237,0,116.69,1,wait,20,0.585
m3-11,81,405.06,30.2854,0.4883,999.0232,0,115.02,1,wait,20,0.575
m3-11,82,410.06,30.2854,0.7324,998.9785,0,116.8,1,wait,20,0.584
