lifetime,mean_aoi,max_aoi,total_energy,tx_rate,pkt_success_rate,stale_ratio,final_battery,policy,method,wE,seed,exp_id
24.0,3.296875,6.65,100.0,0.16666666666666666,0.95625,0.0,0.0,periodic_tx_5,baseline,,3,437885
24.0,3.2239583333333335,6.375,100.0,0.16666666666666666,0.975,0.0,0.0,periodic_tx_5,baseline,,4,437885
36.625,3.040561655405405,5.3,99.35,0.1912420232732733,0.9571428571428573,0.0,0.65,aoi_thresh_5,baseline,,0,437885
36.5,3.0467928866366365,5.325,99.2,0.19198104354354356,0.95,0.0,0.8,aoi_thresh_5,baseline,,1,437885
36.125,3.0944045608108106,5.5,98.65,0.194115990990991,0.9178571428571429,0.0,1.35,aoi_thresh_5,baseline,,2,437885
36.8,3.017267267267267,5.2,99.6,0.19024024024024028,0.9714285714285715,0.0,0.4,aoi_thresh_5,baseline,,3,437885
36.8,3.0179617117117115,5.2,99.6,0.19024024024024025,0.9714285714285715,0.0,0.4,aoi_thresh_5,baseline,,4,437885
46.0,5.616304347826086,17.675,100.0,0.13043478260869565,0.9625,0.1733695652173913,0.0,energy_aware,baseline,,0,437885
45.55,5.551733254994124,17.375,100.0,0.13337250293772035,0.9482142857142858,0.16656874265569915,0.0,energy_aware,baseline,,1,437885
45.55,5.736515863689777,17.75,100.0,0.13337250293772035,0.9273809523809524,0.17743830787309048,0.0,energy_aware,baseline,,2,437885
46.0,5.556521739130434,17.6,100.0,0.13043478260869565,0.9666666666666668,0.16956521739130434,0.0,energy_aware,baseline,,3,437885
46.0,5.5271739130434785,17.525,100.0,0.13043478260869565,0.9708333333333334,0.16793478260869565,0.0,energy_aware,baseline,,4,437885
24.0,3.1708333333333334,5.4,100.0,0.16666666666666666,0.975,0.0,0.0,channel_aware,baseline,,0,437885
24.0,3.2708333333333335,5.875,100.0,0.16666666666666666,0.95,0.0,0.0,channel_aware,baseline,,1,437885
24.0,3.396875,6.475,100.0,0.16666666666666666,0.91875,0.0,0.0,channel_aware,baseline,,2,437885
24.0,3.244791666666667,5.75,100.0,0.16666666666666666,0.95625,0.0,0.0,channel_aware,baseline,,3,437885
24.0,3.1750000000000003,5.425,100.0,0.16666666666666666,0.975,0.0,0.0,channel_aware,baseline,,4,437885
35.825,7.992097701149426,19.8,100.0,0.11264367816091955,0.97625,0.33089080459770115,0.0,adaptive_thresh,alternative,,0,437885
35.25,7.766570881226054,19.3,100.0,0.11873911529083943,0.9525,0.314768373389063,0.0,adaptive_thresh,alternative,,1,437885
35.3,7.874420933472658,19.5,100.0,0.11971438523162661,0.9237500000000001,0.3230625217694183,0.0,adaptive_thresh,alternative,,2,437885
35.675,7.945759317311041,19.7,100.0,0.11466388018112154,0.9600000000000002,0.32773423894113546,0.0,adaptive_thresh,alternative,,3,437885
35.575,7.81588732149077,19.55,100.0,0.11518634622082899,0.9787500000000001,0.31923110414489725,0.0,adaptive_thresh,alternative,,4,437885
