policy,plot_label,method,wE,is_frontier,label_me,mean_aoi_mean,mean_aoi_std,lifetime_mean,lifetime_std,total_energy_mean,tx_rate_mean,pkt_success_rate_mean,stale_ratio_mean
always_transmit,Always TX,baseline,,True,True,2.0819999999999994,0.08761278445523808,10.0,0.0,100.0,1.0,0.449,0.0005
RL(wE=0.1),$w_E$=0.1,rl,0.1,True,True,2.7221833915998,0.26276365179992034,13.985,1.3400186565865415,96.24499999999999,0.6251130841767452,0.45341468253968253,0.0015384615384615385
aoi_thresh_5,AoI Thresh,baseline,,True,True,3.8742245352965745,0.06775248513002997,26.375,0.49015303732609933,96.9,0.3096036131996658,0.46283730158730163,0.007372598162071846
RL(wE=0.3),$w_E$=0.3,rl,0.3,False,False,4.740934367445851,0.47892209252597234,22.675,2.379863441460455,95.335,0.26483147789813377,0.4890416666666667,0.055085113316331036
energy_aware,Energy Aware,baseline,,True,True,7.179326422695988,0.3336084444180598,36.685,0.48466483264210564,100.0,0.19445610206479774,0.46235119047619044,0.24931572100050362
RL(wE=0.5),$w_E$=0.5,rl,0.5,False,True,8.29851034299715,1.02973975726247,32.910000000000004,3.044158340165636,96.265,0.11555208491030763,0.5222142857142857,0.2967691455920701
adaptive_thresh,Adaptive Thresh,alternative,,False,True,9.342557127536711,0.16579828500708105,33.175,0.45853026072441644,99.42999999999999,0.08003038552494088,0.5554166666666667,0.3772577063740857
RL(wE=0.7),$w_E$=0.7,rl,0.7,True,False,14.562750215624394,0.5562723920319131,47.339999999999996,5.425923884464288,95.80499999999999,0.027561628544876517,0.5336805555555555,0.705435433644026
RL(wE=0.9),$w_E$=0.9,rl,0.9,True,True,17.91896834299277,0.18769320845790297,84.35,7.588939319825928,95.38,0.0004805102763997166,0.375,0.8903776467590285
always_sleep,Always Sleep,baseline,,True,True,18.29,0.0,100.0,0.0,100.0,0.0,,0.9099999999999999
channel_aware,Channel Aware,baseline,,True,True,18.29,0.0,100.0,0.0,100.0,0.0,,0.9099999999999999
