mean_aoi,lifetime,tx_rate,pkt_success_rate,case,seed
3.6458333333333335,11.25,0.39053030303030295,0.485,full_model,0
4.344696969696971,11.9,0.26325757575757575,0.45,full_model,1
4.3337121212121215,11.65,0.346969696969697,0.35416666666666663,full_model,2
4.75,12.0,0.225,0.38333333333333336,no_volatility,0
6.866666666666665,12.0,0.10833333333333332,0.3,no_volatility,1
3.131818181818182,11.0,0.65,0.3727777777777778,no_volatility,2
3.6458333333333335,11.25,0.39053030303030295,0.485,no_channel,0
4.344696969696971,11.9,0.26325757575757575,0.45,no_channel,1
4.3337121212121215,11.65,0.346969696969697,0.35416666666666663,no_channel,2
8.046362803862802,37.25,0.13174270174270175,0.525,no_real_energy,0
15.99368882127319,53.05,0.02732096207277237,0.225,no_real_energy,1
10.571618019547522,28.9,0.09611819247950897,0.32499999999999996,no_real_energy,2
4.75,12.0,0.225,0.38333333333333336,no_sensor_no_ch,0
6.866666666666665,12.0,0.10833333333333332,0.3,no_sensor_no_ch,1
3.131818181818182,11.0,0.65,0.3727777777777778,no_sensor_no_ch,2
