ts,node_id,rssi,time_s,channel_quality
1777281479.451688,m3-10,-91.0,-19.979,0
1777281480.451694,m3-10,-91.0,-18.979,0
1777281481.4517,m3-10,-91.0,-17.979,0
1777281482.451706,m3-10,-91.0,-16.979,0
1777281483.451712,m3-10,-91.0,-15.979,0
1777281484.451718,m3-10,-91.0,-14.979,0
1777281485.451725,m3-10,-91.0,-13.979,0
1777281486.451731,m3-10,-91.0,-12.979,0
1777281487.451737,m3-10,-91.0,-11.979,0
1777281488.451743,m3-10,-91.0,-10.979,0
1777281489.451749,m3-10,-91.0,-9.979,0
1777281490.451755,m3-10,-91.0,-8.979,0
1777281491.451762,m3-10,-91.0,-7.979,0
1777281492.451768,m3-10,-91.0,-6.979,0
1777281493.451774,m3-10,-91.0,-5.979,0
1777281494.45178,m3-10,-91.0,-4.979,0
1777281495.451786,m3-10,-91.0,-3.979,0
1777281496.451792,m3-10,-91.0,-2.979,0
1777281497.451799,m3-10,-91.0,-1.979,0
1777281498.451805,m3-10,-91.0,-0.979,0
1777281499.451811,m3-10,-91.0,0.021,0
1777281500.451817,m3-10,-91.0,1.021,0
1777281501.451823,m3-10,-91.0,2.021,0
1777281502.451829,m3-10,-91.0,3.021,0
1777281503.451836,m3-10,-91.0,4.021,0
1777281504.451842,m3-10,-91.0,5.021,0
1777281505.451848,m3-10,-91.0,6.021,0
1777281506.451854,m3-10,-91.0,7.021,0
1777281507.45186,m3-10,-91.0,8.021,0
1777281508.451866,m3-10,-91.0,9.021,0
1777281509.451873,m3-10,-91.0,10.021,0
1777281510.451879,m3-10,-91.0,11.021,0
1777281511.451885,m3-10,-91.0,12.021,0
1777281512.451891,m3-10,-91.0,13.021,0
1777281513.451897,m3-10,-91.0,14.021,0
1777281514.451903,m3-10,-91.0,15.021,0
1777281515.45191,m3-10,-91.0,16.021,0
1777281516.451916,m3-10,-91.0,17.021,0
1777281517.451922,m3-10,-91.0,18.021,0
1777281518.451928,m3-10,-91.0,19.021,0
1777281519.451934,m3-10,-91.0,20.021,0
1777281520.45194,m3-10,-91.0,21.021,0
1777281521.451947,m3-10,-91.0,22.021,0
1777281522.451953,m3-10,-91.0,23.021,0
1777281523.451959,m3-10,-91.0,24.021,0
1777281524.451965,m3-10,-91.0,25.021,0
1777281525.451971,m3-10,-91.0,26.021,0
1777281526.451977,m3-10,-91.0,27.021,0
1777281527.451983,m3-10,-91.0,28.021,0
1777281528.45199,m3-10,-91.0,29.021,0
1777281529.451996,m3-10,-91.0,30.021,0
1777281530.452002,m3-10,-91.0,31.021,0
1777281531.452008,m3-10,-91.0,32.021,0
1777281532.452014,m3-10,-91.0,33.021,0
1777281533.45202,m3-10,-91.0,34.021,0
1777281534.452027,m3-10,-91.0,35.021,0
1777281535.452033,m3-10,-91.0,36.021,0
1777281536.452039,m3-10,-91.0,37.021,0
1777281537.452045,m3-10,-91.0,38.021,0
1777281538.452051,m3-10,-91.0,39.021,0
1777281539.452057,m3-10,-91.0,40.021,0
1777281540.452064,m3-10,-91.0,41.021,0
1777281541.45207,m3-10,-91.0,42.021,0
