lifetime,mean_aoi,max_aoi,total_energy,tx_rate,pkt_success_rate,stale_ratio,final_battery,policy,method,wE,seed,exp_id
14.75,2.8266546566178916,5.625,97.1,0.5495408819122055,0.46959325396825397,0.0,2.9,RL(wE=0.1),rl,0.1,0,437035
25.075,5.408991967568289,12.0,95.525,0.18337381698344965,0.5270833333333333,0.09450945310901271,4.475,RL(wE=0.3),rl,0.3,0,437035
30.2,7.552116319948882,15.975,95.225,0.12730386697606608,0.5141666666666667,0.24869271520558694,4.775,RL(wE=0.5),rl,0.5,0,437035
37.75,14.31551507571235,20.0,94.15,0.029528749305801332,0.475,0.6926683982115154,5.85,RL(wE=0.7),rl,0.7,0,437035
64.8,17.360250374625373,20.0,95.8,0.0,,0.8610658091908092,4.2,RL(wE=0.9),rl,0.9,0,437035
12.825,2.724423493173493,5.675,96.1,0.6947989510489511,0.4409722222222222,0.013474025974025972,3.9,RL(wE=0.1),rl,0.1,1,437035
21.9,4.665533575096562,10.15,95.65,0.289150992034792,0.4732738095238096,0.050567121030507756,4.35,RL(wE=0.3),rl,0.3,1,437035
28.725,8.721526106697791,17.975,95.4,0.11044787584839137,0.5454166666666667,0.3581929120193958,4.6,RL(wE=0.5),rl,0.5,1,437035
44.275,12.198824156100976,19.425,99.225,0.041790054718537015,0.6416666666666666,0.5815029707342795,0.775,RL(wE=0.7),rl,0.7,1,437035
93.6,18.171931082331174,20.0,95.4,0.0,,0.9037858464384829,4.6,RL(wE=0.9),rl,0.9,1,437035
14.05,2.772124438061938,5.775,96.175,0.6363394938394938,0.42743055555555554,0.006458333333333332,3.825,RL(wE=0.1),rl,0.1,2,437035
22.575,4.666260680213332,9.9,95.425,0.2802649315208206,0.4312797619047618,0.0357702399939242,4.575,RL(wE=0.3),rl,0.3,2,437035
31.325,7.847470959965415,13.875,96.45,0.15080950703543983,0.45041666666666663,0.23888162524414688,3.55,RL(wE=0.5),rl,0.5,2,437035
50.375,15.631810808410114,20.0,98.325,0.03180244852319445,0.55,0.7624863019807646,1.675,RL(wE=0.7),rl,0.7,2,437035
92.2,18.143184398974206,20.0,95.2,0.0,,0.9022728631039054,4.8,RL(wE=0.9),rl,0.9,2,437035
12.275,2.236623792873793,4.525,96.475,0.7609933816183816,0.4644444444444444,0.0,3.525,RL(wE=0.1),rl,0.1,3,437035
26.025,5.053039041575262,10.4,97.05,0.21153880978574174,0.5053571428571428,0.040243033234881063,2.95,RL(wE=0.3),rl,0.3,3,437035
32.45,7.509967874264703,15.5,97.475,0.12206723697073518,0.4925,0.22809999420731647,2.525,RL(wE=0.5),rl,0.5,3,437035
48.4,16.144042020662134,20.0,95.4,0.004014452027298274,0.5,0.794969441008037,4.6,RL(wE=0.7),rl,0.7,3,437035
96.2,18.22242268041237,20.0,95.2,0.0,,0.9064432989690723,4.8,RL(wE=0.9),rl,0.9,3,437035
12.275,2.311789876789877,4.5,96.525,0.7423826173826173,0.4574999999999999,0.0,3.475,RL(wE=0.1),rl,0.1,4,437035
22.775,4.6992376370598326,10.475,95.75,0.2550131526122913,0.4967857142857143,0.055050589520185024,4.25,RL(wE=0.3),rl,0.3,4,437035
31.65,6.346051755516608,13.25,97.65,0.15133144141213467,0.5206547619047619,0.1337465600153901,2.35,RL(wE=0.5),rl,0.5,4,437035
48.775,15.052642471158844,20.0,93.575,0.024788706349582135,0.6125,0.7280765292493249,6.425,RL(wE=0.7),rl,0.7,4,437035
79.8,17.85655389840169,20.0,95.2,0.0,,0.8871870472842996,4.8,RL(wE=0.9),rl,0.9,4,437035
