node_id,step,time_s,temperature,luminosity,pressure,sensor_volatility,power_mw,rssi,channel_quality
m3-1,72,359.86,44.7771,283.2031,995.23,1,123.72,-91.0,2
m3-1,73,364.86,44.7792,283.2031,995.1755,0,119.21,-91.0,2
m3-1,74,369.86,44.7729,282.4707,995.1514,1,123.81,-91.0,2
m3-1,75,374.87,44.7812,281.0059,995.1794,1,119.42,-91.0,2
m3-1,76,379.87,44.7917,279.7852,995.2441,1,123.5,-91.0,2
m3-1,77,384.87,44.8188,280.2734,995.1692,1,119.55,-91.0,2
m3-1,78,389.92,44.7938,279.0527,995.134,1,123.37,-91.0,2
m3-1,79,394.88,44.8208,277.5879,995.1638,1,119.62,-91.0,2
m3-1,80,399.89,44.8354,277.0996,995.1504,1,123.53,-91.0,2
m3-1,81,404.89,44.8333,275.8789,995.1338,1,119.53,-91.0,2
m3-1,82,409.94,44.8417,271.9727,995.2222,1,123.42,-91.0,2
m3-1,83,414.9,44.8729,268.3105,995.2849,1,119.82,-91.0,2
m3-1,84,419.9,44.8958,267.5781,995.1875,2,123.31,-91.0,2
m3-1,85,424.91,44.8625,267.334,995.1799,1,119.88,-91.0,2
m3-1,86,429.91,44.8833,267.334,995.1958,0,123.3,-91.0,2
m3-1,87,434.92,44.8917,268.7988,995.1687,1,119.89,-91.0,2
m3-1,88,439.92,44.8979,269.5312,995.1514,1,123.35,-91.0,2
m3-1,89,444.92,44.9104,272.4609,995.1431,1,119.78,-91.0,2
m3-1,90,449.93,44.9229,274.1699,995.2617,2,123.42,-91.0,2
m3-1,91,454.97,44.9188,273.6816,995.043,2,119.99,-91.0,2
m3-1,92,459.93,44.9208,274.1699,995.0515,1,123.24,-91.0,2
m3-1,93,464.94,44.9125,280.5176,995.1184,1,119.85,-91.0,2
m3-1,94,469.99,44.9146,281.0059,995.1401,1,123.14,-91.0,2
m3-1,95,474.95,44.925,280.5176,995.1843,1,119.94,-91.0,2
m3-1,96,479.95,44.9271,282.959,995.1392,1,123.18,-91.0,2
m3-1,97,484.96,44.9521,281.25,995.0791,1,119.93,-91.0,2
m3-1,98,489.96,44.9562,276.123,995.2239,2,123.22,-91.0,2
m3-1,99,494.97,44.975,273.9258,995.1802,1,119.94,-91.0,2
m3-1,100,499.97,44.9979,273.6816,995.2039,1,123.12,-91.0,2
m3-1,101,504.98,44.9854,272.9492,995.1499,1,120.21,-91.0,2
m3-1,102,509.98,44.9792,267.0898,995.0867,1,122.99,-91.0,2
m3-1,103,514.98,44.9979,265.3809,995.2481,2,120.29,-91.0,2
m3-1,104,519.99,44.9917,271.4844,995.1343,2,122.99,-91.0,2
m3-1,105,524.99,44.9896,273.4375,995.1689,1,120.22,-91.0,2
m3-1,106,530.0,44.9979,268.0664,995.1694,1,122.99,-91.0,2
m3-1,107,535.0,45.0146,259.0332,995.1338,1,120.24,-91.0,2
m3-1,108,540.0,45.0125,246.582,995.116,1,123.07,-91.0,2
m3-1,109,545.05,45.0396,234.1309,995.1821,1,120.54,-91.0,2
m3-1,110,550.01,45.0271,227.7832,995.0349,2,122.88,-91.0,2
m3-1,111,555.02,45.0167,231.9336,995.0723,1,120.7,-91.0,2
m3-1,112,560.02,45.025,238.5254,995.0676,1,122.89,-91.0,2
m3-1,113,565.02,45.0438,250.2441,995.1611,2,120.6,-91.0,2
m3-1,114,570.03,45.0604,263.916,995.1362,1,122.81,-91.0,2
m3-1,115,575.03,45.0688,273.9258,995.0757,1,120.47,-91.0,2
m3-1,116,580.04,45.0854,278.8086,995.1873,2,122.8,-91.0,2
m3-1,117,585.04,45.0792,281.7383,995.0737,2,120.35,-91.0,2
m3-1,118,590.04,45.0688,283.6914,995.1318,1,122.65,-91.0,2
m3-1,119,595.05,45.0729,284.4238,995.1628,1,120.59,-91.0,2
m3-1,120,600.06,45.0896,283.4473,995.0881,1,122.51,-91.0,2
m3-1,121,605.06,45.0708,281.9824,995.1025,1,120.61,-91.0,2
m3-1,122,610.06,45.1021,279.2969,995.1126,1,122.59,-91.0,2
m3-1,123,615.06,45.1104,281.0059,995.1038,1,120.55,-91.0,2
m3-1,124,620.07,45.1,281.0059,995.1245,0,122.64,-91.0,2
m3-1,125,625.07,45.1083,281.7383,995.1511,1,120.55,-91.0,2
m3-1,126,630.08,45.1375,281.4941,995.1355,1,122.46,-91.0,2
m3-1,127,635.08,45.125,278.3203,995.1484,1,120.84,-91.0,2
m3-1,128,640.09,45.1333,279.2969,995.1052,1,122.37,-91.0,2
m3-1,129,645.09,45.1458,288.8184,995.2915,2,120.83,-91.0,2
m3-1,130,650.1,45.1812,287.8418,995.2275,1,122.33,-91.0,2
m3-1,131,655.1,45.1812,287.3535,995.0112,2,120.82,-91.0,2
m3-1,132,660.1,45.1313,287.8418,995.0674,1,122.29,-91.0,2
m3-1,133,665.11,45.15,291.5039,995.1731,2,120.8,-91.0,2
m3-1,134,670.11,45.1958,291.9922,995.0432,2,122.31,-91.0,2
m3-1,135,675.12,45.1667,293.457,995.136,2,120.91,-91.0,2
m3-1,136,680.12,45.1854,295.4102,995.062,1,122.0,-91.0,2
m3-1,137,685.12,45.1688,295.4102,995.054,0,121.0,-91.0,2
m3-1,138,690.13,45.1688,296.1426,995.1594,2,122.0,-91.0,2
m3-1,139,695.17,45.2104,296.1426,995.21,0,121.18,-91.0,2
m3-1,140,700.14,45.225,294.9219,995.1585,1,121.91,-91.0,2
m3-1,141,705.14,45.2167,299.0723,995.1462,1,120.9,-91.0,2
m3-1,142,710.15,45.2062,295.166,995.1213,1,122.11,-91.0,2
m3-1,143,715.15,45.2167,286.6211,995.1475,1,120.91,-91.0,2
m3-1,144,720.15,45.2104,282.7148,995.145,1,122.23,-91.0,2
m3-1,145,725.16,45.225,268.5547,995.1128,1,121.08,-91.0,2
m3-1,146,730.16,45.225,266.3574,995.1611,1,122.08,-91.0,2
m3-1,147,735.17,45.2292,264.8926,995.0996,1,121.26,-91.0,2
m3-1,148,740.21,45.2229,262.4512,995.135,1,121.93,-91.0,2
m3-1,149,745.17,45.2333,273.1934,995.1443,1,121.4,-91.0,2
m3-1,150,750.18,45.2896,276.6113,995.1001,1,121.98,-91.0,2
m3-1,151,755.18,45.2563,269.2871,995.1321,1,121.25,-91.0,2
m3-1,152,760.23,45.2667,276.8555,995.1592,1,121.99,-91.0,2
m3-1,153,765.19,45.2646,282.2266,995.1106,1,121.4,-91.0,2
m3-1,154,770.19,45.2583,271.9727,995.1362,1,121.69,-91.0,2
m3-1,155,775.2,45.2875,262.207,995.1374,1,121.54,-91.0,2
m3-1,156,780.2,45.3,261.7188,995.0593,1,121.8,-91.0,2
m3-1,157,785.2,45.2979,272.2168,995.1328,1,121.49,-91.0,2
m3-1,158,790.21,45.3021,274.6582,995.0159,2,121.83,-91.0,2
m3-1,159,795.21,45.3,272.2168,995.0615,1,121.38,-91.0,2
m3-1,160,800.22,45.3188,273.4375,995.1226,1,121.85,-91.0,2
m3-1,161,805.22,45.3188,279.7852,995.24,2,121.36,-91.0,2
m3-1,162,810.22,45.3625,279.541,995.1523,1,121.86,-91.0,2
m3-1,163,815.23,45.3188,273.4375,995.1482,1,121.47,-91.0,2
m3-1,164,820.23,45.3479,277.0996,995.1829,1,121.59,-91.0,2
m3-1,165,825.24,45.3438,274.4141,995.0703,2,121.61,-91.0,2
m3-1,166,830.24,45.3312,278.8086,995.1523,1,121.59,-91.0,2
m3-1,167,835.24,45.3458,279.7852,995.2732,2,121.67,-91.0,2
m3-1,168,840.25,45.3729,281.7383,995.1628,2,121.56,-91.0,2
m3-1,169,845.25,45.3625,274.4141,995.2146,1,121.62,-91.0,2
m3-1,170,850.25,45.3625,267.5781,995.1384,1,121.64,-91.0,2
m3-1,171,855.26,45.3854,268.5547,995.1172,1,121.82,-91.0,2
m3-1,172,860.31,45.3563,272.7051,995.054,1,121.34,-91.0,2
m3-1,173,865.27,45.3792,272.7051,995.1296,0,121.92,-91.0,2
m3-1,174,870.27,45.3854,263.1836,995.1497,1,121.41,-91.0,2
m3-1,175,875.28,45.3771,256.8359,995.1704,1,121.93,-91.0,2
m3-1,176,880.28,45.4,256.5918,995.0977,1,121.56,-91.0,2
m3-1,177,885.28,45.3875,266.3574,995.2485,2,121.9,-91.0,2
m3-1,178,890.29,45.4229,274.4141,995.145,2,121.53,-91.0,2
m3-1,179,895.29,45.4167,284.4238,995.093,1,121.76,-91.0,2
m3-1,180,900.3,45.3917,277.0996,995.1257,1,121.4,-91.0,2
m3-1,181,905.3,45.3979,275.8789,995.1685,1,122.04,-91.0,2
m3-1,182,910.3,45.4062,287.8418,995.1519,1,121.23,-91.0,2
m3-1,183,915.31,45.4125,294.9219,995.1269,1,122.04,-91.0,2
m3-1,184,920.31,45.4229,285.1562,995.2283,2,121.16,-91.0,2
m3-1,185,925.32,45.4438,281.4941,995.2358,1,122.02,-91.0,2
m3-1,186,930.32,45.4479,283.4473,995.2256,1,121.26,-91.0,2
m3-1,187,935.32,45.4479,281.9824,995.2546,1,122.03,-91.0,2
m3-1,188,940.33,45.475,292.4805,995.2471,1,121.2,-91.0,2
m3-1,189,945.33,45.4708,302.4902,995.283,1,122.14,-91.0,2
m3-10,1,4.55,43.3604,134.0332,997.7065,2,115.31,-91.0,2
m3-10,2,9.56,43.3208,135.2539,997.8489,2,117.34,-91.0,2
m3-10,3,14.56,43.3813,136.4746,997.5696,2,115.9,-91.0,2
m3-10,4,19.56,43.375,137.4512,997.6404,1,117.36,-91.0,2
m3-10,5,24.57,43.4292,140.3809,997.8247,2,115.8,-91.0,2
m3-10,6,29.57,43.4333,138.6719,997.8247,1,117.38,-91.0,2
m3-10,7,34.58,43.4479,140.3809,997.761,1,115.82,-91.0,2
m3-10,8,39.58,43.4604,140.625,997.6567,1,117.46,-91.0,2
m3-10,9,44.58,43.4896,142.334,997.488,2,115.75,-91.0,2
m3-10,10,49.63,43.4667,143.3106,997.8176,2,117.49,-91.0,2
m3-10,11,54.6,43.525,143.3106,997.4524,1,115.74,-91.0,2
m3-10,12,59.6,43.4854,143.5547,997.6062,1,117.62,-91.0,2
m3-10,13,64.61,43.4937,143.7988,997.8337,1,115.73,-91.0,2
m3-10,14,69.61,43.5729,145.0195,997.533,2,117.67,-91.0,2
m3-10,15,74.61,43.5396,145.0195,997.7683,1,115.72,-91.0,2
m3-10,16,79.62,43.5688,145.0195,997.7165,0,117.72,-91.0,2
m3-10,17,84.62,43.575,145.2637,997.7127,1,115.68,-91.0,2
m3-10,18,89.63,43.5792,145.7519,997.7256,1,117.76,-91.0,2
m3-10,19,94.63,43.625,146.4844,997.6333,2,115.7,-91.0,2
m3-10,20,99.63,43.6167,146.7285,997.7105,1,117.85,-91.0,2
m3-10,21,104.64,43.6375,147.2168,997.8467,2,115.63,-91.0,2
m3-10,22,109.64,43.6688,146.9727,997.6277,1,117.88,-91.0,2
m3-10,23,114.65,43.6167,146.9727,997.6658,0,115.57,-91.0,2
m3-10,24,119.65,43.6521,148.4375,997.5085,2,117.89,-91.0,2
m3-10,25,124.66,43.6792,148.4375,997.6389,0,115.51,-91.0,2
m3-10,26,129.66,43.7042,149.1699,997.6711,1,117.97,-91.0,2
m3-10,27,134.66,43.7,148.6816,997.5825,1,115.45,-91.0,2
m3-10,28,139.67,43.7313,149.4141,997.6934,2,117.94,-91.0,2
m3-10,29,144.67,43.75,149.9023,997.7092,1,115.45,-91.0,2
m3-10,30,149.68,43.7333,150.3906,997.6826,1,118.02,-91.0,2
m3-10,31,154.72,43.7708,150.1465,997.7551,1,115.24,-91.0,2
m3-10,32,159.68,43.7563,150.8789,997.6736,1,118.17,-91.0,2
m3-10,33,164.69,43.7792,151.1231,997.6533,1,115.35,-91.0,2
m3-10,34,169.7,43.7729,151.8555,997.7524,2,118.11,-91.0,2
m3-10,35,174.74,43.8146,152.0996,997.5603,1,115.14,-91.0,2
m3-10,36,179.7,43.8021,152.832,997.7869,2,118.27,-91.0,2
m3-10,37,184.71,43.8125,153.0762,997.6438,1,115.27,-91.0,2
m3-10,38,189.71,43.825,153.3203,997.5823,1,118.19,-91.0,2
m3-10,39,194.71,43.7812,153.0762,997.7537,1,115.17,-91.0,2
m3-10,40,199.72,43.8208,153.8086,997.8264,1,118.2,-91.0,2
m3-10,41,204.72,43.8625,153.8086,997.7219,0,115.17,-91.0,2
m3-10,42,209.73,43.85,154.541,997.6987,1,118.28,-91.0,2
m3-10,43,214.73,43.8458,154.541,997.7327,0,115.11,-91.0,2
m3-10,44,219.74,43.8833,155.0293,997.5898,2,118.35,-91.0,2
m3-10,45,224.74,43.8667,154.2969,997.6726,1,115.08,-91.0,2
m3-10,46,229.74,43.8875,154.7852,997.6157,1,118.34,-91.0,2
m3-10,47,234.75,43.9125,154.7852,997.6018,0,115.06,-91.0,2
m3-10,48,239.75,43.8771,155.0293,997.615,1,118.39,-91.0,2
m3-10,49,244.76,43.9229,154.7852,997.6619,1,114.86,-91.0,2
m3-10,50,249.76,43.9479,155.2734,997.6924,1,118.64,-91.0,2
m3-10,51,254.77,43.9167,155.0293,997.6201,1,114.89,-91.0,2
m3-10,52,259.77,43.9521,155.7617,997.7808,2,118.72,-91.0,2
m3-10,53,264.77,43.9896,155.5176,997.6604,1,114.97,-91.0,2
m3-10,54,269.78,43.9792,156.0059,997.6653,1,118.58,-91.0,2
m3-10,55,274.78,44.0042,156.25,997.8208,1,114.96,-91.0,2
m3-10,56,279.79,44.0,156.7383,997.7175,1,118.64,-91.0,2
m3-10,57,284.79,43.9896,156.7383,997.5076,0,114.78,-91.0,2
m3-10,58,289.8,43.9896,157.2266,997.7127,2,118.89,-91.0,2
m3-10,59,294.8,44.0354,156.7383,997.6934,1,114.78,-91.0,2
m3-10,60,299.8,44.0354,157.2266,997.8035,1,118.95,-91.0,2
m3-10,61,304.81,44.0542,156.7383,997.615,2,114.75,-91.0,2
m3-10,62,309.81,44.0229,157.4707,997.7263,2,118.97,-91.0,2
m3-10,63,314.82,44.0562,157.2266,997.687,1,114.7,-91.0,2
m3-10,64,319.82,44.0312,156.9824,997.697,1,119.04,-91.0,2
m3-10,65,324.83,44.0354,156.4941,997.8462,2,114.68,-91.0,2
m3-10,66,329.83,44.1021,156.4941,997.7058,0,119.01,-91.0,2
m3-10,67,334.83,44.0896,156.7383,997.7485,1,114.55,-91.0,2
m3-10,68,339.84,44.0771,157.2266,997.7817,1,119.08,-91.0,2
m3-10,69,344.84,44.1021,156.4941,997.5713,2,114.58,-91.0,2
m3-10,70,349.85,44.1063,156.4941,997.5989,0,119.08,-91.0,2
m3-10,71,354.85,44.1125,156.25,997.7944,1,114.53,-91.0,2
m3-10,72,359.85,44.125,156.4941,997.5938,1,119.05,-91.0,2
m3-10,73,364.86,44.1271,155.5176,997.8293,2,114.6,-91.0,2
m3-10,74,369.86,44.1542,155.2734,997.6492,1,119.07,-91.0,2
m3-10,75,374.87,44.125,153.8086,997.7517,2,114.55,-91.0,2
m3-10,76,379.87,44.1292,153.8086,997.6968,0,119.05,-91.0,2
m3-10,77,384.88,44.1625,153.3203,997.811,2,114.6,-91.0,2
m3-10,78,389.88,44.1771,152.3438,997.7927,1,118.97,-91.0,2
m3-10,79,394.88,44.1958,151.3672,997.7873,1,114.59,-91.0,2
m3-10,80,399.89,44.1688,151.3672,997.7178,0,118.97,-91.0,2
m3-10,81,404.89,44.1646,150.6348,997.6963,1,114.7,-91.0,2
m3-10,82,409.89,44.1917,148.4375,997.6709,1,118.9,-91.0,2
m3-10,83,414.9,44.1958,145.7519,997.7127,1,114.69,-91.0,2
m3-10,84,419.91,44.1979,145.5078,997.5862,1,118.87,-91.0,2
m3-10,85,424.91,44.1917,144.5312,997.5967,1,114.72,-91.0,2
m3-10,86,429.91,44.1958,144.7754,997.7612,1,118.81,-91.0,2
m3-10,87,434.92,44.2104,145.5078,997.6345,2,114.78,-91.0,2
m3-10,88,439.92,44.2333,145.9961,997.8789,2,118.77,-91.0,2
m3-10,89,444.92,44.2563,147.2168,997.7644,2,114.85,-91.0,2
m3-10,90,449.93,44.2313,148.1934,997.7256,1,118.74,-91.0,2
m3-10,91,454.93,44.2542,147.7051,997.6482,1,114.89,-91.0,2
m3-10,92,459.93,44.2125,148.1934,997.6851,1,118.7,-91.0,2
m3-10,93,464.94,44.2729,151.3672,997.8818,2,114.92,-91.0,2
m3-10,94,469.95,44.3146,151.1231,997.6377,1,118.66,-91.0,2
m3-10,95,474.95,44.2708,151.1231,997.5435,0,114.99,-91.0,2
m3-10,96,479.95,44.2667,152.3438,997.7852,2,118.63,-91.0,2
m3-10,97,484.96,44.2979,151.6113,997.6614,2,115.0,-91.0,2
m3-10,98,489.96,44.3167,148.1934,997.5522,2,118.6,-91.0,2
m3-10,99,494.97,44.2896,147.2168,997.7481,2,115.09,-91.0,2
m3-10,100,499.97,44.3375,146.4844,997.5227,2,118.54,-91.0,2
m3-10,101,504.97,44.2812,145.9961,997.6536,2,115.07,-91.0,2
