lifetime,mean_aoi,max_aoi,total_energy,tx_rate,pkt_success_rate,stale_ratio,final_battery,policy,method,wE,seed,exp_id
12.0,2.309181235431235,4.7,95.675,0.7631306193806194,0.45805555555555555,0.0,4.325,RL(wE=0.1),rl,0.1,0,437864
22.2,4.641822780289886,9.9,95.225,0.24100757255076477,0.49279761904761904,0.02451438213451943,4.775,RL(wE=0.3),rl,0.3,0,437864
29.65,8.27931929962586,17.2,96.3,0.10303774257410855,0.5475,0.3014846056864803,3.7,RL(wE=0.5),rl,0.5,0,437864
44.45,14.517184022708927,20.0,96.0,0.029280162250400664,0.4583333333333333,0.7097047052780685,4.0,RL(wE=0.7),rl,0.7,0,437864
92.4,18.14833387646119,20.0,95.0,0.0,,0.9025438882347995,5.0,RL(wE=0.9),rl,0.9,0,437864
13.325,2.9096061169222933,5.95,95.95,0.6812824430471489,0.43680555555555556,0.02074404761904762,4.05,RL(wE=0.1),rl,0.1,1,437864
23.525,4.944340174089644,10.4,95.75,0.25260842807707296,0.46261904761904765,0.06422255106789532,4.25,RL(wE=0.3),rl,0.3,1,437864
32.925,8.878411891851535,17.225,96.775,0.09713028774433594,0.5549999999999999,0.34730588365216686,3.225,RL(wE=0.5),rl,0.5,1,437864
50.4,16.191299106700388,20.0,97.0,0.014322725680169613,0.6785714285714286,0.7992596686471162,3.0,RL(wE=0.7),rl,0.7,1,437864
86.5,18.020814348725583,20.0,95.5,0.0,,0.8958323341434514,4.5,RL(wE=0.9),rl,0.9,1,437864
11.725,2.3559419746919747,4.675,94.65,0.781737012987013,0.4345138888888888,0.0,5.35,RL(wE=0.1),rl,0.1,2,437864
22.225,4.897930123789678,10.55,94.775,0.25910206104910977,0.4435119047619048,0.05174069506220537,5.225,RL(wE=0.3),rl,0.3,2,437864
30.6,7.158652919110475,15.15,96.325,0.14573190506417386,0.47000000000000003,0.21634240880032785,3.675,RL(wE=0.5),rl,0.5,2,437864
50.85,13.544423301108756,20.0,95.875,0.04534930528844393,0.5083333333333333,0.6490864541310583,4.125,RL(wE=0.7),rl,0.7,2,437864
86.4,18.020717904789677,20.0,95.4,0.0,,0.8958272581468251,4.6,RL(wE=0.9),rl,0.9,2,437864
12.2,2.220773809523809,4.4,94.8,0.7501423576423576,0.4617361111111111,0.0,5.2,RL(wE=0.1),rl,0.1,3,437864
24.75,4.980548012503824,10.375,96.15,0.22587252551949805,0.5055357142857143,0.04001670696883945,3.85,RL(wE=0.3),rl,0.3,3,437864
29.1,6.17124972510114,12.375,97.225,0.15728557085740774,0.5204166666666665,0.11054931679001137,2.775,RL(wE=0.5),rl,0.5,3,437864
46.175,12.947655135127292,19.925,95.9,0.04480318251361677,0.5125,0.5962422622225445,4.1,RL(wE=0.7),rl,0.7,3,437864
87.3,18.036036801442464,20.0,95.3,0.0,,0.896633515865393,4.7,RL(wE=0.9),rl,0.9,3,437864
13.575,2.7458543192918192,5.85,97.325,0.642192945942946,0.46269841269841266,0.0019230769230769232,2.675,RL(wE=0.1),rl,0.1,4,437864
