policy,method,wE,lifetime_mean,lifetime_std,mean_aoi_mean,mean_aoi_std,max_aoi_mean,max_aoi_std,total_energy_mean,total_energy_std,tx_rate_mean,tx_rate_std,pkt_success_rate_mean,pkt_success_rate_std,stale_ratio_mean,stale_ratio_std,final_battery_mean,final_battery_std
RL(wE=0.1),rl,0.1,13.261666666666667,1.246454495568856,2.6015927114251416,0.28491841562941844,5.34,0.6924207020095718,96.13333333333334,0.7166182154164566,0.6752070750456973,0.08838640501904829,0.45205489417989414,0.015419407350328644,0.0033527861027861025,0.006255438546543542,3.8666666666666667,0.7166182154164565
RL(wE=0.3),rl,0.3,23.15,1.851953601702035,4.825539389681699,0.3515110509621607,10.4,0.9065239733651358,95.63333333333334,0.7100469468046965,0.25430782733538776,0.030538291885147263,0.4840833333333333,0.025726782382453715,0.05145771238579374,0.026190140217183994,4.366666666666666,0.710046946804693
RL(wE=0.5),rl,0.5,31.583333333333332,2.3859085321548923,7.78073614389081,1.0420233604924523,15.798333333333334,1.985516005859386,96.41166666666666,0.7587505393424003,0.12555487615139235,0.02186647181416271,0.5164404761904762,0.03263667189845969,0.25655902320230234,0.08145943356315023,3.5883333333333334,0.7587505393423988
RL(wE=0.7),rl,0.7,47.61833333333333,5.12951427200146,14.525698085629026,1.1135591936914053,19.953333333333333,0.14786174365972884,96.08999999999999,1.6548305912431873,0.029470220899193614,0.011767184806030607,0.5461871693121694,0.07842127411341,0.7030215859446424,0.06319400606421127,3.9099999999999997,1.65483059124319
RL(wE=0.9),rl,0.9,85.91666666666667,8.601861647894822,17.97506781662836,0.2323480100824994,20.0,0.0,95.32666666666667,0.28652266593628783,0.00016017009213323887,0.0004226899242916155,0.375,0.1767766952966369,0.8933931648300675,0.012224764355801972,4.673333333333333,0.28652266593628867
adaptive_thresh,alternative,,33.175,0.4746239112632842,9.34255712753671,0.1716175294221218,17.205,0.15300560213833464,99.43,0.1333630919171988,0.08003038552494088,0.005128225129450934,0.5554166666666667,0.029536347664078835,0.3772577063740857,0.009194341028161931,0.5700000000000001,0.1333630919171953
aoi_thresh_5,baseline,,26.375,0.5073565947986828,3.874224535296575,0.07013048482213302,7.86,0.260631102189611,96.9,0.2982089392163979,0.30960361319966584,0.008520285499501165,0.4628373015873016,0.02069019196714462,0.007372598162071847,0.004760339069932254,3.1,0.2982089392164014
energy_aware,baseline,,36.684999999999995,0.5016757632461151,7.179326422695988,0.3453175466980217,17.64,0.6452989340497275,100.0,0.0,0.19445610206479771,0.004073567379492548,0.46235119047619044,0.02650039365184269,0.24931572100050362,0.023835923993194594,0.0,0.0
channel_aware,baseline,,100.0,0.0,18.29,0.0,20.0,0.0,100.0,0.0,0.0,0.0,,,0.9099999999999999,0.0,0.0,0.0
periodic_tx_5,baseline,,24.0,0.0,6.519375,0.31407460442203405,13.65,0.4830150840590509,100.0,0.0,0.16666666666666666,0.0,0.47250000000000003,0.02995532387692425,0.18458333333333335,0.025290352597854577,0.0,0.0
always_transmit,baseline,,10.0,0.0,2.082,0.0906878476659675,4.175,0.23717082451262825,100.0,0.0,1.0,0.0,0.44899999999999995,0.006253570408745926,0.0005,0.0010350983390135316,0.0,0.0
always_wait,baseline,,34.0,0.0,14.97058823529412,0.0,20.0,0.0,99.0,0.0,0.0,0.0,,,0.735294117647059,0.0,1.0,0.0
always_sleep,baseline,,100.0,0.0,18.29,0.0,20.0,0.0,100.0,0.0,0.0,0.0,,,0.9099999999999999,0.0,0.0,0.0
