battery_state,aoi_state,channel_quality,action,action_code,Q_energy,Q_freshness,exp_id
crit(0-5),fresh(≤1),poor,sleep,0,0.0,0.0,437864
crit(0-5),fresh(≤1),medium,sleep,0,0.0,0.0,437864
crit(0-5),fresh(≤1),good,transmit,2,0.0,-0.2635,437864
crit(0-5),ok(2-4),poor,sleep,0,0.0,0.0,437864
crit(0-5),ok(2-4),medium,sleep,0,0.0,0.0,437864
crit(0-5),ok(2-4),good,transmit,2,0.0,-0.6239,437864
crit(0-5),aging(5-8),poor,sleep,0,0.0,0.0,437864
crit(0-5),aging(5-8),medium,sleep,0,0.0,0.0,437864
crit(0-5),aging(5-8),good,transmit,2,0.0,-0.7559,437864
crit(0-5),stale(9-12),poor,sleep,0,0.0,0.0,437864
crit(0-5),stale(9-12),medium,sleep,0,0.0,0.0,437864
crit(0-5),stale(9-12),good,transmit,2,0.0,-0.9791,437864
crit(0-5),old(>12),poor,sleep,0,0.0,0.0,437864
crit(0-5),old(>12),medium,sleep,0,0.0,0.0,437864
crit(0-5),old(>12),good,wait,1,-0.1955,-1.7985,437864
low(5-20),fresh(≤1),poor,sleep,0,0.0,0.0,437864
low(5-20),fresh(≤1),medium,sleep,0,0.0,0.0,437864
low(5-20),fresh(≤1),good,sleep,0,-0.6498,-0.397,437864
low(5-20),ok(2-4),poor,sleep,0,0.0,0.0,437864
low(5-20),ok(2-4),medium,sleep,0,0.0,0.0,437864
low(5-20),ok(2-4),good,sleep,0,-0.5599,-0.4882,437864
low(5-20),aging(5-8),poor,sleep,0,0.0,0.0,437864
low(5-20),aging(5-8),medium,sleep,0,0.0,0.0,437864
low(5-20),aging(5-8),good,sleep,0,-0.6138,-0.6563,437864
low(5-20),stale(9-12),poor,sleep,0,0.0,0.0,437864
low(5-20),stale(9-12),medium,sleep,0,0.0,0.0,437864
low(5-20),stale(9-12),good,transmit,2,-1.1087,-0.2926,437864
low(5-20),old(>12),poor,sleep,0,0.0,0.0,437864
low(5-20),old(>12),medium,sleep,0,0.0,0.0,437864
low(5-20),old(>12),good,transmit,2,-1.0956,-0.5015,437864
med-lo(20-40),fresh(≤1),poor,sleep,0,0.0,0.0,437864
med-lo(20-40),fresh(≤1),medium,sleep,0,0.0,0.0,437864
med-lo(20-40),fresh(≤1),good,sleep,0,-1.0864,-0.3865,437864
med-lo(20-40),ok(2-4),poor,sleep,0,0.0,0.0,437864
med-lo(20-40),ok(2-4),medium,sleep,0,0.0,0.0,437864
med-lo(20-40),ok(2-4),good,sleep,0,-1.1226,-0.4928,437864
med-lo(20-40),aging(5-8),poor,sleep,0,0.0,0.0,437864
med-lo(20-40),aging(5-8),medium,sleep,0,0.0,0.0,437864
med-lo(20-40),aging(5-8),good,wait,1,-1.315,-0.6845,437864
med-lo(20-40),stale(9-12),poor,sleep,0,0.0,0.0,437864
med-lo(20-40),stale(9-12),medium,sleep,0,0.0,0.0,437864
med-lo(20-40),stale(9-12),good,wait,1,-1.1257,-0.8689,437864
med-lo(20-40),old(>12),poor,sleep,0,0.0,0.0,437864
med-lo(20-40),old(>12),medium,sleep,0,0.0,0.0,437864
med-lo(20-40),old(>12),good,transmit,2,-1.7561,-0.4744,437864
medium(40-60),fresh(≤1),poor,sleep,0,0.0,0.0,437864
medium(40-60),fresh(≤1),medium,sleep,0,0.0,0.0,437864
medium(40-60),fresh(≤1),good,sleep,0,-1.1844,-0.4003,437864
medium(40-60),ok(2-4),poor,sleep,0,0.0,0.0,437864
medium(40-60),ok(2-4),medium,sleep,0,0.0,0.0,437864
medium(40-60),ok(2-4),good,sleep,0,-1.1749,-0.5144,437864
medium(40-60),aging(5-8),poor,sleep,0,0.0,0.0,437864
medium(40-60),aging(5-8),medium,sleep,0,0.0,0.0,437864
medium(40-60),aging(5-8),good,wait,1,-1.3528,-0.6723,437864
medium(40-60),stale(9-12),poor,sleep,0,0.0,0.0,437864
medium(40-60),stale(9-12),medium,sleep,0,0.0,0.0,437864
medium(40-60),stale(9-12),good,sleep,0,-1.1487,-0.8421,437864
medium(40-60),old(>12),poor,sleep,0,0.0,0.0,437864
medium(40-60),old(>12),medium,sleep,0,0.0,0.0,437864
medium(40-60),old(>12),good,transmit,2,-2.0058,-0.3301,437864
med-hi(60-80),fresh(≤1),poor,sleep,0,0.0,0.0,437864
med-hi(60-80),fresh(≤1),medium,sleep,0,0.0,0.0,437864
med-hi(60-80),fresh(≤1),good,sleep,0,-1.2976,-0.4178,437864
med-hi(60-80),ok(2-4),poor,sleep,0,0.0,0.0,437864
med-hi(60-80),ok(2-4),medium,sleep,0,0.0,0.0,437864
med-hi(60-80),ok(2-4),good,sleep,0,-1.3006,-0.528,437864
med-hi(60-80),aging(5-8),poor,sleep,0,0.0,0.0,437864
med-hi(60-80),aging(5-8),medium,sleep,0,0.0,0.0,437864
med-hi(60-80),aging(5-8),good,wait,1,-1.4808,-0.6833,437864
med-hi(60-80),stale(9-12),poor,sleep,0,0.0,0.0,437864
med-hi(60-80),stale(9-12),medium,sleep,0,0.0,0.0,437864
med-hi(60-80),stale(9-12),good,sleep,0,-1.3528,-0.8599,437864
med-hi(60-80),old(>12),poor,sleep,0,0.0,0.0,437864
med-hi(60-80),old(>12),medium,sleep,0,0.0,0.0,437864
med-hi(60-80),old(>12),good,transmit,2,-2.1612,-0.3643,437864
high(80+),fresh(≤1),poor,sleep,0,0.0,0.0,437864
high(80+),fresh(≤1),medium,sleep,0,0.0,0.0,437864
high(80+),fresh(≤1),good,sleep,0,-1.3387,-0.4427,437864
high(80+),ok(2-4),poor,sleep,0,0.0,0.0,437864
high(80+),ok(2-4),medium,sleep,0,0.0,0.0,437864
high(80+),ok(2-4),good,wait,1,-1.5201,-0.5355,437864
high(80+),aging(5-8),poor,sleep,0,0.0,0.0,437864
