variant,description,lifetime_mean,lifetime_std,mean_aoi_mean,mean_aoi_std,max_aoi_mean,max_aoi_std,total_energy_mean,total_energy_std,tx_rate_mean,tx_rate_std,pkt_success_rate_mean,pkt_success_rate_std,stale_ratio_mean,stale_ratio_std,final_battery_mean,final_battery_std
Full TQ-IoT,All state features + Chebyshev scalarisation,30.983333333333334,2.8803573273698766,8.174611712905227,0.70356946730523,17.091666666666665,1.0217427921611832,95.925,0.6244997998398418,0.11616653168687256,0.020090335970571617,0.5144444444444445,0.0439308431683422,0.2912506695940611,0.03384085680080171,4.075,0.6244997998398399
No channel state,channel state masked to modal bin (0); real channel still drives success probability,30.983333333333334,2.8803573273698766,8.174611712905227,0.70356946730523,17.091666666666665,1.0217427921611832,95.925,0.6244997998398418,0.11616653168687256,0.020090335970571617,0.5144444444444445,0.0439308431683422,0.2912506695940611,0.03384085680080171,4.075,0.6244997998398399
No volatility state,sensor_volatility masked to modal bin (1),35.958333333333336,6.158953509593439,9.827184120764832,2.641229757460662,17.991666666666667,2.0512699318552228,96.10000000000001,1.2616952880945569,0.09074343548206776,0.030697997028325305,0.4988888888888889,0.07263078879842547,0.4215237366279438,0.16105759462583813,3.9,1.2616952880945542
Weighted-sum scalarisation,Chebyshev replaced by weighted-sum action selection,36.99166666666667,1.428358615101031,7.766043013624981,0.4776154577904471,16.325,1.475635456337371,96.01666666666667,0.2528998484248936,0.13630502899397848,0.0180974075430411,0.4888492063492063,0.04893093687558314,0.26855661099056605,0.0273787650765012,3.983333333333334,0.2528998484248919
