policy,avg_energy_per_step,mean_aoi,lifetime,total_energy
RL(wE=0.5),3.0679656940080475,7.78073614389081,31.583333333333332,96.41166666666666
adaptive_thresh,2.997711600262438,9.34255712753671,33.175,99.43
always_sleep,1.0,18.29,100.0,100.0
always_transmit,10.0,2.082,10.0,100.0
aoi_thresh_5,3.675241884236623,3.874224535296575,26.375,96.9
channel_aware,1.0,18.29,100.0,100.0
