variant,mean_aoi,lifetime,aoi_change_vs_full_pct,lifetime_change_vs_full_pct
Full TQ-IoT,8.174611712905227,30.983333333333334,0.0,0.0
No channel state,8.174611712905227,30.983333333333334,0.0,0.0
No volatility state,9.827184120764832,35.958333333333336,20.21591319439302,16.057019903173753
Weighted-sum scalarisation,7.766043013624981,36.99166666666667,-4.998019644593518,19.392146315223236
